city_slug,jurisdiction_name
borough_of_bonneauville,Borough Of Bonneauville
borough_of_braddock_hills,Borough Of Braddock Hills
borough_of_bristol_bay,Borough Of Bristol Bay
borough_of_burnham,Borough Of Burnham
borough_of_cape_may_point,Borough Of Cape May Point
borough_of_carteret,Borough Of Carteret
borough_of_catasauqua,Borough Of Catasauqua
borough_of_chalfont,Borough Of Chalfont
borough_of_charleroi,Borough Of Charleroi
borough_of_chester,Borough Of Chester
borough_of_cheswick,Borough Of Cheswick
borough_of_clayton,Borough Of Clayton
borough_of_clementon,Borough Of Clementon
borough_of_cliffside_park,Borough Of Cliffside Park
borough_of_coudersport,Borough Of Coudersport
borough_of_dover,Borough Of Dover
borough_of_dravosburg,Borough Of Dravosburg
borough_of_dublin,Borough Of Dublin
borough_of_eagles_mere,Borough Of Eagles Mere
borough_of_east_greenville,Borough Of East Greenville
borough_of_east_pittsburgh,Borough Of East Pittsburgh
borough_of_east_rutherford,Borough Of East Rutherford
borough_of_eddystone,Borough Of Eddystone
borough_of_edgeworth,Borough Of Edgeworth
borough_of_edinboro,Borough Of Edinboro
borough_of_elizabethtown,Borough Of Elizabethtown
borough_of_elizabethville,Borough Of Elizabethville
borough_of_englishtown,Borough Of Englishtown
borough_of_essex_fells,Borough Of Essex Fells
borough_of_fanwood,Borough Of Fanwood
borough_of_franklin_lakes,Borough Of Franklin Lakes
borough_of_freedom,Borough Of Freedom
borough_of_girard,Borough Of Girard
borough_of_glassboro,Borough Of Glassboro
borough_of_glen_gardner,Borough Of Glen Gardner
borough_of_glen_rock,Borough Of Glen Rock
borough_of_glenolden,Borough Of Glenolden
borough_of_haddonfield,Borough Of Haddonfield
borough_of_hallam,Borough Of Hallam
borough_of_hamburg,Borough Of Hamburg
borough_of_hampton,Borough Of Hampton
borough_of_harrington_park,Borough Of Harrington Park
borough_of_hatfield,Borough Of Hatfield
borough_of_ho_ho_kus,Borough Of Ho Ho Kus
borough_of_homestead,Borough Of Homestead
borough_of_honesdale,Borough Of Honesdale
borough_of_honey_brook,Borough Of Honey Brook
borough_of_hopatcong,Borough Of Hopatcong
borough_of_houston,Borough Of Houston
borough_of_ingram,Borough Of Ingram
borough_of_jamesburg,Borough Of Jamesburg
borough_of_jim_thorpe,Borough Of Jim Thorpe
borough_of_keyport,Borough Of Keyport
borough_of_lakehurst,Borough Of Lakehurst
borough_of_lansdowne,Borough Of Lansdowne
